,word,sentiment_score,sentiment_label,sadness,joy,fear,disgust,anger
0,"Oh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,ahead. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,it  up. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,So  I  don't  remember. ,0,neutral,0.161819,0.157933,0.099978,0.072867,0.09194
4,"Um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,let  me  think. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,most  of  my  problem  with  this  latest  how  task  is  just  that  I  felt  real  pressured  with  time  this week. ,-0.61147,negative,0.554511,0.04145,0.511692,0.019846,0.099478
8,We  haven't  had  a  lot  of  time  to  sit  down  and  talk  about  what  our  plan  is. ,-0.430642,negative,0.523615,0.135722,0.233844,0.071974,0.155933
9,"And  then  when  you  tell  me  that  they  haven't  really  recruited  a  lot  of  couples, ",-0.46394,negative,0.16158,0.507504,0.127456,0.018582,0.171075
10,"it's  um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,I  kind  of  don't  want  to  put  in  the  time  to  do  it. ,-0.445246,negative,0.235568,0.313498,0.128687,0.113598,0.244168
12,that's  not  very  encouraging. ,-0.720154,negative,0.151545,0.174219,0.093654,0.072945,0.08686
13,"If  they  had  a  cast  of  thousands  on  the  other  end, ",-0.378567,negative,0.275699,0.177878,0.195425,0.079222,0.222891
14,it  wouldn't  make  you  want  to  do  it. ,0,neutral,0.379901,0.050082,0.113568,0.055208,0.181012
15,Right. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,"So  I'm  saying  I've  got  a  lot  of  other  things  to  do, ",0,neutral,0.183316,0.2248,0.377088,0.039399,0.179121
17,so  it's  on  the  top  priority. ,0,neutral,0.145788,0.245783,0.067691,0.090041,0.086434
18,"If  they  didn't  come  through  with  the  people  they  thought  they  would, ",-0.606465,negative,0.28701,0.092976,0.164348,0.330724,0.292806
19,"they  were  going  to  have  Mike, ",0,neutral,0.337662,0.145415,0.158956,0.131466,0.130819
20,my  feeling  is  put  it  off  for  six  months  until  it's  a  better  time  of  year. ,0.489197,positive,0.372896,0.5077,0.058202,0.019557,0.077517
21,I  think  it's  a  busy  time  for  a  lot  of  people. ,0.360311,positive,0.577992,0.22966,0.182193,0.027133,0.111344
22,"You've  got  mother's  day, ",0,neutral,0.03976,0.839878,0.03734,0.030387,0.075573
23,you  got  Memorial day weekend  right  in  the  middle. ,0.715639,positive,0.256259,0.388378,0.148685,0.033987,0.176264
24,Both  of  those. ,0,neutral,0.0,0.0,0.0,0.0,0.0
25,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,"The  problem  is  though, ",-0.781492,negative,0.64445,0.021013,0.439504,0.013735,0.116284
27,"just  if  we  put  it  off  at  this  point, ",0,neutral,0.317559,0.103488,0.066392,0.165819,0.49098
28,We  said  we  would  do  it. ,0,neutral,0.622226,0.111816,0.13287,0.071763,0.201616
29,"Oh  yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,I  agree  and  I'm  willing  to  do  it. ,0.911678,positive,0.05827,0.801716,0.016949,0.053901,0.054561
31,"But  they  also  said  they  would  be  couples, ",0,neutral,0.395415,0.333388,0.149021,0.043456,0.125245
32,so ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,and  I  was  wondering  if  we  go  and  we  do  it  Sunday  and  one  couple  shows  up ,0.718443,positive,0.167447,0.606851,0.187503,0.036502,0.038347
35,and  you're  planning  on  just  having  that  one  couple  then  for  four  weeks  or ,0,neutral,0.136118,0.459585,0.109893,0.035541,0.104597
36,three  weeks  ago. ,0,neutral,0.400783,0.114766,0.168906,0.112907,0.1774
37,"That's  we  need  to  talk  about, ",0,neutral,0.313038,0.059179,0.231557,0.089586,0.137924
38,"see  we  could  say  to  them  that  if  in  fact  that's  all  there  is, ",0.526455,positive,0.343435,0.219022,0.171295,0.197393,0.10081
39,"then  we  could, ",0.612009,positive,0.0,0.0,0.0,0.0,0.0
40,we  can  see  something  <inaudible>  we  can  be  more  specific  with  them  as  to  sure. ,0,neutral,0.027845,0.21043,0.057484,0.015093,0.026007
41,What  they  want. ,0,neutral,0.916667,0.0,0.0,0.0,0.0
42,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,"what  they  like, ",0,neutral,0.0,0.880435,0.0,0.0,0.0
44,what  we  can  do  to  help  them. ,0,neutral,0.0,0.880435,0.0,0.0,0.0
45,That's  okay  with  me. ,0.716489,positive,0.0,0.0,0.0,0.0,0.0
46,That's  fine. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,I  just  don't  want  to  be  adding  people  like  we  discussed  before. ,0,neutral,0.228129,0.210199,0.117921,0.217701,0.163319
48,It's  not  a  helpful  if  you're  going  to  run  that ,-0.729322,negative,0.166876,0.159454,0.224174,0.042126,0.145483
49,"well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,"I  think  we  have  to  specific  process, ",0,neutral,0.032757,0.069399,0.052931,0.019833,0.069457
51,"but  a, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,"when  you  said  this  other  couple  really  wanted  to  do  it, ",-0.763153,negative,0.707068,0.123945,0.169557,0.034373,0.145449
53,"but  they  can't  do  it  this week, ",-0.882075,negative,0.313039,0.420537,0.06208,0.133939,0.081879
54,"so  that's  why  I  said  if  you  waited  one  week, ",-0.7968,negative,0.457111,0.174761,0.147677,0.093577,0.239059
55,"but  then  it's  mother's  day, ",0,neutral,0.025761,0.878985,0.031554,0.030846,0.043787
56,so  you  might  miss  other  people ,-0.60137,negative,0.699528,0.015427,0.353003,0.066474,0.109198
57,because  mother's  day  the  following  Sunday. ,0,neutral,0.024752,0.923154,0.024886,0.007139,0.020426
58,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,See  that's  why  it's ,0,neutral,0.0,0.0,0.0,0.0,0.0
60,also  so  bad. ,-0.945463,negative,0.665415,0.004874,0.27478,0.198025,0.200476
61,To  me. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,"The  timing  is  just, ",0,neutral,0.0,0.0,0.0,0.0,0.0
63,"it's  not  ideal  hard, ",-0.82625,negative,0.151545,0.174219,0.093654,0.072945,0.08686
64,but  let's  try  and  go  back  to  <inaudible>  the ,-0.641868,negative,0.265486,0.179912,0.034324,0.021201,0.021939
65,"well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,"I  also, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,"we  could  talk  to  Don  because  if  really  there's  not  that  anymore  interest  right  now  or  they're  not  able  to  get  the  people, ",-0.917112,negative,0.294667,0.234188,0.104508,0.197035,0.260697
68,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,"we'll  do  it, ",0.660598,positive,0.0,0.0,0.0,0.0,0.0
70,but  why  not? ,0,neutral,0.0,0.0,0.0,0.0,0.0
71,"We'll  do  it  when  there's  more  interesting, ",0.550353,positive,0.0,0.0,0.0,0.0,0.0
72,where  we  disagree  is  in  how  much  educational  material  to  give  them. ,-0.515632,negative,0.297674,0.463953,0.034514,0.082356,0.176001
73,Obviously  you  have  to  have  a  of  where  you're  going  some  some  parameter  just  like  we  always  had. ,0.636664,positive,0.183014,0.305349,0.082351,0.124055,0.337744
74,"Yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,but  do  we  have  to  spend  a  whole  lot  of  time  preparing  this  thing? ,-0.656739,negative,0.332266,0.277669,0.191334,0.106057,0.206296
76,We  don't. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,it  being  stressful. ,-0.926305,negative,0.0,0.0,0.0,0.0,0.767442
78,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,no. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,I  just  want  to  plan  as  to  where  we  want  to  go  with  this  particular  topic  and  you're  going  to  use  some  handouts. ,0.443544,positive,0.29542,0.056305,0.164105,0.034037,0.109832
81,can  call. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,I  needed  to  know  what  N  for  it  wasn't  for  the  three  weeks  or  four  weeks  because  it's  still  not  clear  to  me. ,-0.9358,negative,0.355533,0.189015,0.140029,0.053504,0.130649
83,We're  not  committed  either  way  at  this  point. ,0,neutral,0.202184,0.265366,0.058947,0.07201,0.391919
84,So  we  have  the  latitude  to  make  up  her  own  decision  and  I  think  where  we  ought  to  do  that. ,0.448068,positive,0.138844,0.155993,0.293659,0.141016,0.162909
85,"I  don't  think, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,"in  fact, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,I  don't  think  we  ought  to  decide  till  we  go. ,-0.880927,negative,0.249719,0.144425,0.267941,0.063164,0.129032
88,Well  sent  me  home  that  first  week  in  June. ,0,neutral,0.187441,0.430181,0.124083,0.065879,0.022909
89,"But  we'll  see  Jenny, ",0.0,neutral,0.320556,0.274483,0.042717,0.228676,0.027416
